questions,ground_truth,modus,types_of_relation,agreement_lv,atomic_idx,dataset_id,a,b,c
"If John reads a book, then John learns something new
John reads a book
If Jessica explains quantum physics to John for the first time, then John learns something new

What necessarily had to follow assuming that the above premises were true?
(a) John learns something new
(b) John does not learn something new
(c) John may or may not learn something new",c,ponens,If-Event-Then-MentalState,5,0,0-strong,John learns something new.,John does not learn something new.,John may or may not learn something new.
"If John buys a better fishing rod to catch more fish than Jessica, then John feels smug
John buys a better fishing rod to catch more fish than Jessica
If John consistently outperforms Jessica in every fishing competition, then John feels smug

What necessarily had to follow assuming that the above premises were true?
(a) John feels smug
(b) John does not feel smug
(c) John may or may not feel smug",c,ponens,If-Event-Then-MentalState,5,0,1-strong,John feels smug.,John does not feel smug.,John may or may not feel smug.
"If John buys a cake with John's money, then John feels happy
John buys a cake with John's money
If John completes a challenging task he's been working on and Jessica surprises him with heartfelt congratulations, then John feels happy

What necessarily had to follow assuming that the above premises were true?
(a) John feels happy
(b) John does not feel happy
(c) John may or may not feel happy",c,ponens,If-Event-Then-MentalState,4,0,5-strong,John feels happy.,John does not feel happy.,John may or may not feel happy.
"If John whispers to get attention, then Jessica gets a headache
John whispers to get attention
If loud noises cause her discomfort, then Jessica gets a headache

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gets a headache
(b) Jessica does not get a headache
(c) Jessica may or may not get a headache",c,ponens,If-Event-Then-MentalState,4,0,6-strong,Jessica gets a headache.,Jessica does not get a headache.,Jessica may or may not get a headache.
"If John plays chess to win a game, then Jessica feels anxious
John plays chess to win a game
If Jessica is invested in the outcome of a competition where a loved one's success is at stake, then Jessica feels anxious

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels anxious
(b) Jessica does not feel anxious
(c) Jessica may or may not feel anxious",a,ponens,If-Event-Then-MentalState,5,0,8-strong,Jessica feels anxious.,Jessica does not feel anxious.,Jessica may or may not feel anxious.
"If John escapes a locked room by picking the lock, then John smiles
John escapes a locked room by picking the lock
If John finally hears the satisfying click of the tumbler after Jessica teaches him the delicate art of lockpicking, then John smiles

What necessarily had to follow assuming that the above premises were true?
(a) John smiles
(b) John does not smile
(c) John may or may not smile",c,ponens,If-Event-Then-MentalState,4,0,9-strong,John smiles.,John does not smile.,John may or may not smile.
"If John solves a puzzle, then John grins
John solves a puzzle
If Jessica compliments John on his cleverness, then John grins

What necessarily had to follow assuming that the above premises were true?
(a) John grins
(b) John does not grin
(c) John may or may not grin",c,ponens,If-Event-Then-MentalState,4,0,10-strong,John grins.,John does not grin.,John may or may not grin.
"If John escapes a locked room by picking the lock, then John cheers
John escapes a locked room by picking the lock
If John finally hears the satisfying click of the tumbler after Jessica teaches him the delicate art of lockpicking, then John cheers

What necessarily had to follow assuming that the above premises were true?
(a) John cheers
(b) John does not cheer
(c) John may or may not cheer",c,ponens,If-Event-Then-MentalState,4,0,11-strong,John cheers.,John does not cheer.,John may or may not cheer.
"If John fakes a headache to skip work, then Jessica, the boss, will be irritated
John fakes a headache to skip work
If John does not complete the urgent project due today, then Jessica, the boss, will be irritated

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, the boss, will be irritated
(b) Jessica, the boss, will not be irritated
(c) Jessica, the boss, may or may not be irritated",a,ponens,If-Event-Then-MentalState,4,0,12-strong,"Jessica, the boss, will be irritated.","Jessica, the boss, will not be irritated.","Jessica, the boss, may or may not be irritated."
"If John lies to avoid punishment, then Jessica gets mad
John lies to avoid punishment
If he breaks her trust by deceiving her, then Jessica gets mad

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gets mad
(b) Jessica does not get mad
(c) Jessica may or may not get mad",c,ponens,If-Event-Then-MentalState,5,0,13-strong,Jessica gets mad.,Jessica does not get mad.,Jessica may or may not get mad.
