questions,ground_truth,modus,types_of_relation,atomic_idx,dataset_id,a,b,c
"If John reads a book, then John learns something new
John reads a book

What necessarily had to follow assuming that the above premises were true?
(a) John learns something new
(b) John does not learn something new
(c) John may or may not learn something new",a,ponens,If-Event-Then-MentalState,0,0-strong,John learns something new.,John does not learn something new.,John may or may not learn something new.
"If John buys a better fishing rod to catch more fish than Jessica, then John feels smug
John buys a better fishing rod to catch more fish than Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John feels smug
(b) John does not feel smug
(c) John may or may not feel smug",a,ponens,If-Event-Then-MentalState,0,1-strong,John feels smug.,John does not feel smug.,John may or may not feel smug.
"If John whispers to distract opponents, then Jessica frowns
John whispers to distract opponents

What necessarily had to follow assuming that the above premises were true?
(a) Jessica frowns
(b) Jessica does not frown
(c) Jessica may or may not frown",a,ponens,If-Event-Then-MentalState,0,2-strong,Jessica frowns.,Jessica does not frown.,Jessica may or may not frown.
"If John plays chess aggressively, then Jessica feels anxious
John plays chess aggressively

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels anxious
(b) Jessica does not feel anxious
(c) Jessica may or may not feel anxious",a,ponens,If-Event-Then-MentalState,0,3-strong,Jessica feels anxious.,Jessica does not feel anxious.,Jessica may or may not feel anxious.
"If John buys a sandwich with their money, then John is happy
John buys a sandwich with their money

What necessarily had to follow assuming that the above premises were true?
(a) John is happy
(b) John is not happy
(c) John may or may not be happy",a,ponens,If-Event-Then-MentalState,0,4-strong,John is happy.,John is not happy.,John may or may not be happy.
"If John buys a cake with John's money, then John feels happy
John buys a cake with John's money

What necessarily had to follow assuming that the above premises were true?
(a) John feels happy
(b) John does not feel happy
(c) John may or may not feel happy",a,ponens,If-Event-Then-MentalState,0,5-strong,John feels happy.,John does not feel happy.,John may or may not feel happy.
"If John whispers to get attention, then Jessica gets a headache
John whispers to get attention

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gets a headache
(b) Jessica does not get a headache
(c) Jessica may or may not get a headache",a,ponens,If-Event-Then-MentalState,0,6-strong,Jessica gets a headache.,Jessica does not get a headache.,Jessica may or may not get a headache.
"If John tells a joke to make friends laugh, then Jessica feels annoyed
John tells a joke to make friends laugh

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels annoyed
(b) Jessica does not feel annoyed
(c) Jessica may or may not feel annoyed",a,ponens,If-Event-Then-MentalState,0,7-strong,Jessica feels annoyed.,Jessica does not feel annoyed.,Jessica may or may not feel annoyed.
"If John plays chess to win a game, then Jessica feels anxious
John plays chess to win a game

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels anxious
(b) Jessica does not feel anxious
(c) Jessica may or may not feel anxious",a,ponens,If-Event-Then-MentalState,0,8-strong,Jessica feels anxious.,Jessica does not feel anxious.,Jessica may or may not feel anxious.
"If John escapes a locked room by picking the lock, then John smiles
John escapes a locked room by picking the lock

What necessarily had to follow assuming that the above premises were true?
(a) John smiles
(b) John does not smile
(c) John may or may not smile",a,ponens,If-Event-Then-MentalState,0,9-strong,John smiles.,John does not smile.,John may or may not smile.
"If John solves a puzzle, then John grins
John solves a puzzle

What necessarily had to follow assuming that the above premises were true?
(a) John grins
(b) John does not grin
(c) John may or may not grin",a,ponens,If-Event-Then-MentalState,0,10-strong,John grins.,John does not grin.,John may or may not grin.
"If John escapes a locked room by picking the lock, then John cheers
John escapes a locked room by picking the lock

What necessarily had to follow assuming that the above premises were true?
(a) John cheers
(b) John does not cheer
(c) John may or may not cheer",a,ponens,If-Event-Then-MentalState,0,11-strong,John cheers.,John does not cheer.,John may or may not cheer.
"If John fakes a headache to skip work, then Jessica, the boss, will be irritated
John fakes a headache to skip work

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, the boss, will be irritated
(b) Jessica, the boss, will not be irritated
(c) Jessica, the boss, may or may not be irritated",a,ponens,If-Event-Then-MentalState,0,12-strong,"Jessica, the boss, will be irritated.","Jessica, the boss, will not be irritated.","Jessica, the boss, may or may not be irritated."
"If John lies to avoid punishment, then Jessica gets mad
John lies to avoid punishment

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gets mad
(b) Jessica does not get mad
(c) Jessica may or may not get mad",a,ponens,If-Event-Then-MentalState,0,13-strong,Jessica gets mad.,Jessica does not get mad.,Jessica may or may not get mad.
"If John evades a speeding ticket through persuasion, then Jessica starts fretting
John evades a speeding ticket through persuasion

What necessarily had to follow assuming that the above premises were true?
(a) Jessica starts fretting
(b) Jessica does not start fretting
(c) Jessica may or may not start fretting",a,ponens,If-Event-Then-MentalState,0,14-strong,Jessica starts fretting.,Jessica does not start fretting.,Jessica may or may not start fretting.
"If John spends money to buy a book, then John gains knowledge
John spends money to buy a book

What necessarily had to follow assuming that the above premises were true?
(a) John gains knowledge
(b) John does not gain knowledge
(c) John may or may not gain knowledge",a,ponens,If-Event-Then-MentalState,1,15-strong,John gains knowledge.,John does not gain knowledge.,John may or may not gain knowledge.
"If John lobbies to become the leader of a small community garden club, then Jessica, as a member, will follow John's gardening plans
John lobbies to become the leader of a small community garden club

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, as a member, will follow John's gardening plans
(b) Jessica, as a member, will not follow John's gardening plans
(c) Jessica, as a member, may or may not follow John's gardening plans",a,ponens,If-Event-Then-MentalState,1,16-strong,"Jessica, as a member, will follow John's gardening plans.","Jessica, as a member, will not follow John's gardening plans.","Jessica, as a member, may or may not follow John's gardening plans."
"If John uses their influence to get a job, then John becomes influential
John uses their influence to get a job

What necessarily had to follow assuming that the above premises were true?
(a) John becomes influential
(b) John does not become influential
(c) John may or may not become influential",a,ponens,If-Event-Then-MentalState,2,17-strong,John becomes influential.,John does not become influential.,John may or may not become influential.
"If John asks a friend to give John a book, then Jessica will be influenced to hand it over
John asks a friend to give John a book

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will be influenced to hand it over
(b) Jessica will not be influenced to hand it over
(c) Jessica may or may not be influenced to hand it over",a,ponens,If-Event-Then-MentalState,2,18-strong,Jessica will be influenced to hand it over.,Jessica will not be influenced to hand it over.,Jessica may or may not be influenced to hand it over.
"If John strengthens their bargaining power with their own money, then John can demand additional benefits
John strengthens their bargaining power with their own money

What necessarily had to follow assuming that the above premises were true?
(a) John can demand additional benefits
(b) John cannot demand additional benefits. 
(c) John may or may not be able to demand additional benefits",a,ponens,If-Event-Then-Event,5,19-strong,John can demand additional benefits.,John cannot demand additional benefits. ,John may or may not be able to demand additional benefits.
"If John uses their own funds to complete a vital company project, then John is promoted to senior manager
John uses their own funds to complete a vital company project

What necessarily had to follow assuming that the above premises were true?
(a) John is promoted to senior manager
(b) John is not promoted to senior manager
(c) John may or may not be promoted to senior manager",a,ponens,If-Event-Then-Event,5,20-strong,John is promoted to senior manager.,John is not promoted to senior manager.,John may or may not be promoted to senior manager.
"If John spends money to hire a personal trainer, then Jessica must pay John for nutrition advice
John spends money to hire a personal trainer

What necessarily had to follow assuming that the above premises were true?
(a) Jessica must pay John for nutrition advice
(b) Jessica does not have to pay John for nutrition advice
(c) Jessica may or may not pay John for nutrition advice",a,ponens,If-Event-Then-Event,5,21-strong,Jessica must pay John for nutrition advice.,Jessica does not have to pay John for nutrition advice.,Jessica may or may not pay John for nutrition advice.
"If John spends money to buy better equipment for a competition, then Jessica will decide not to compete
John spends money to buy better equipment for a competition

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will decide not to compete
(b) Jessica will not decide to compete
(c) Jessica may or may not decide to compete",a,ponens,If-Event-Then-Event,5,22-strong,Jessica will decide not to compete.,Jessica will not decide to compete.,Jessica may or may not decide to compete.
"If ""If John leverages their clout to get perks from friends, then John will request additional favors.""
""If John leverages their clout to get perks from friends

What necessarily had to follow assuming that the above premises were true?
(a) John will request additional favors
(b) John will not request additional favors
(c) John may or may not request additional favors",a,ponens,If-Event-Then-Event,5,23-strong,John will request additional favors.,John will not request additional favors.,John may or may not request additional favors.
"If John asks colleagues for help using persuasion, then John is promoted at work
John asks colleagues for help using persuasion

What necessarily had to follow assuming that the above premises were true?
(a) John is promoted at work
(b) John is not promoted at work
(c) John may or may not be promoted at work",a,ponens,If-Event-Then-Event,5,24-strong,John is promoted at work.,John is not promoted at work.,John may or may not be promoted at work.
"If John leverages their clout to request assistance, then Jessica must assist
John leverages their clout to request assistance

What necessarily had to follow assuming that the above premises were true?
(a) Jessica must assist
(b) Jessica must not assist
(c) Jessica may or may not assist",a,ponens,If-Event-Then-Event,5,25-strong,Jessica must assist.,Jessica must not assist.,Jessica may or may not assist.
"If John asks for free coffee using their celebrity status, then Jessica will deny the request
John asks for free coffee using their celebrity status

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will deny the request
(b) Jessica will not deny the request
(c) Jessica may or may not deny the request",a,ponens,If-Event-Then-Event,5,26-strong,Jessica will deny the request.,Jessica will not deny the request.,Jessica may or may not deny the request.
"If John practices woodworking, then John will start a carpentry shop
John practices woodworking

What necessarily had to follow assuming that the above premises were true?
(a) John will start a carpentry shop
(b) John will not start a carpentry shop
(c) John may or may not start a carpentry shop",a,ponens,If-Event-Then-Event,6,27-strong,John will start a carpentry shop.,John will not start a carpentry shop.,John may or may not start a carpentry shop.
"If John applies programming abilities to create software, then John will hire software developers
John applies programming abilities to create software

What necessarily had to follow assuming that the above premises were true?
(a) John will hire software developers
(b) John will not hire software developers
(c) John may or may not hire software developers",a,ponens,If-Event-Then-Event,6,28-strong,John will hire software developers.,John will not hire software developers.,John may or may not hire software developers.
"If John uses their money to buy information for a secret plan, then John opens a coffee shop
John uses their money to buy information for a secret plan

What necessarily had to follow assuming that the above premises were true?
(a) John opens a coffee shop
(b) John does not open a coffee shop
(c) John may or may not open a coffee shop",a,ponens,If-Event-Then-Event,6,29-strong,John opens a coffee shop.,John does not open a coffee shop.,John may or may not open a coffee shop.
"If John spends money secretly to gain information, then John hires spies
John spends money secretly to gain information

What necessarily had to follow assuming that the above premises were true?
(a) John hires spies
(b) John does not hire spies
(c) John may or may not hire spies",a,ponens,If-Event-Then-Event,6,30-strong,John hires spies.,John does not hire spies.,John may or may not hire spies.
"If John convinces his friend to be kinder, then John feels happy about improving one person's behavior
John convinces his friend to be kinder

What necessarily had to follow assuming that the above premises were true?
(a) John feels happy about improving one person's behavior
(b) John does not feel happy about improving one person's behavior
(c) John may or may not feel happy about improving one person's behavior",a,ponens,If-Event-Then-MentalState,10,31-strong,John feels happy about improving one person's behavior.,John does not feel happy about improving one person's behavior.,John may or may not feel happy about improving one person's behavior.
"If John convinces aggressive men to be kind, then Jessica will thank John
John convinces aggressive men to be kind

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will thank John
(b) Jessica will not thank John
(c) Jessica may or may not thank John",a,ponens,If-Event-Then-MentalState,10,32-strong,Jessica will thank John.,Jessica will not thank John.,Jessica may or may not thank John.
"If John compliments men. John feels happy., then Jessica receives compliments. Jessica feels flattered
John compliments men. John feels happy

What necessarily had to follow assuming that the above premises were true?
(a) Jessica receives compliments. Jessica feels flattered
(b) Jessica does not receive compliments. Jessica does not feel flattered
(c) Jessica may or may not receive compliments. Jessica may or may not feel flattered",a,ponens,If-Event-Then-MentalState,11,33-strong,Jessica receives compliments. Jessica feels flattered.,Jessica does not receive compliments. Jessica does not feel flattered.,Jessica may or may not receive compliments. Jessica may or may not feel flattered.
"If John increases men's trust in him, then John feels more confident
John increases men's trust in him

What necessarily had to follow assuming that the above premises were true?
(a) John feels more confident
(b) John does not feel more confident
(c) John may or may not feel more confident",a,ponens,If-Event-Then-Event,15,34-strong,John feels more confident.,John does not feel more confident.,John may or may not feel more confident.
"If John convinces men to trust more easily, then John sees those men as more cooperative
John convinces men to trust more easily

What necessarily had to follow assuming that the above premises were true?
(a) John sees those men as more cooperative
(b) John does not see those men as more cooperative
(c) John may or may not see those men as more cooperative",a,ponens,If-Event-Then-Event,15,35-strong,John sees those men as more cooperative.,John does not see those men as more cooperative.,John may or may not see those men as more cooperative.
"If John convinces his friend to be more respectful, then John feels proud of himself
John convinces his friend to be more respectful

What necessarily had to follow assuming that the above premises were true?
(a) John feels proud of himself
(b) John does not feel proud of himself
(c) John may or may not feel proud of himself",a,ponens,If-Event-Then-Event,15,36-strong,John feels proud of himself.,John does not feel proud of himself.,John may or may not feel proud of himself.
"If John convinces men with honesty, then Men become cooperative
John convinces men with honesty

What necessarily had to follow assuming that the above premises were true?
(a) Men become cooperative
(b) Men do not become cooperative
(c) Men may or may not become cooperative",a,ponens,If-Event-Then-Event,15,37-strong,Men become cooperative.,Men do not become cooperative.,Men may or may not become cooperative.
"If John convinces men at the local gym to sign up for a weekly park cleanup, then the number of volunteers at the park on Saturdays will increase
John convinces men at the local gym to sign up for a weekly park cleanup

What necessarily had to follow assuming that the above premises were true?
(a) The number of volunteers at the park on Saturdays will increase
(b) The number of volunteers at the park on Saturdays will not increase
(c) The number of volunteers at the park on Saturdays may or may not increase",a,ponens,If-Event-Then-Event,16,38-strong,The number of volunteers at the park on Saturdays will increase.,The number of volunteers at the park on Saturdays will not increase.,The number of volunteers at the park on Saturdays may or may not increase.
"If John convinces 10 men to volunteer for a local environmental clean-up, then Jessica will gather 5 new signatures for a related environmental petition
John convinces 10 men to volunteer for a local environmental clean-up

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will gather 5 new signatures for a related environmental petition
(b) Jessica will not gather 5 new signatures for a related environmental petition
(c) Jessica may or may not gather 5 new signatures for a related environmental petition",a,ponens,If-Event-Then-Event,16,39-strong,Jessica will gather 5 new signatures for a related environmental petition.,Jessica will not gather 5 new signatures for a related environmental petition.,Jessica may or may not gather 5 new signatures for a related environmental petition.
"If John convinces male friends to offer one hour weekly at a local food bank, then Jessica will likely contribute two cans of food to the same charity
John convinces male friends to offer one hour weekly at a local food bank

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will likely contribute two cans of food to the same charity
(b) Jessica will not contribute two cans of food to the same charity
(c) Jessica may or may not contribute two cans of food to the same charity",a,ponens,If-Event-Then-Event,16,40-strong,Jessica will likely contribute two cans of food to the same charity.,Jessica will not contribute two cans of food to the same charity.,Jessica may or may not contribute two cans of food to the same charity.
"If John convinces 50 local men to volunteer weekly at a soup kitchen, then Jessica will sign up for the next volunteer shift with John
John convinces 50 local men to volunteer weekly at a soup kitchen

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will sign up for the next volunteer shift with John
(b) Jessica will not sign up for the next volunteer shift with John
(c) Jessica may or may not sign up for the next volunteer shift with John",a,ponens,If-Event-Then-Event,16,41-strong,Jessica will sign up for the next volunteer shift with John,Jessica will not sign up for the next volunteer shift with John,Jessica may or may not sign up for the next volunteer shift with John
"If John convinces local fathers to volunteer at the community center, then Jessica will donate $100 to the center
John convinces local fathers to volunteer at the community center

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will donate $100 to the center
(b) Jessica will not donate $100 to the center
(c) Jessica may or may not donate $100 to the center",a,ponens,If-Event-Then-Event,16,42-strong,Jessica will donate $100 to the center.,Jessica will not donate $100 to the center.,Jessica may or may not donate $100 to the center.
"If John convinces men in their local book club to volunteer at the community garden, then Jessica will campaign for more green spaces in their neighborhood
John convinces men in their local book club to volunteer at the community garden

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will campaign for more green spaces in their neighborhood
(b) Jessica will not campaign for more green spaces in their neighborhood
(c) Jessica may or may not campaign for more green spaces in their neighborhood",a,ponens,If-Event-Then-Event,16,43-strong,Jessica will campaign for more green spaces in their neighborhood.,Jessica will not campaign for more green spaces in their neighborhood.,Jessica may or may not campaign for more green spaces in their neighborhood.
"If John convinces local men to volunteer at the animal shelter, then Jessica will have enough help to save more stray cats and dogs
John convinces local men to volunteer at the animal shelter

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will have enough help to save more stray cats and dogs
(b) Jessica will not have enough help to save more stray cats and dogs
(c) Jessica may or may not have enough help to save more stray cats and dogs",a,ponens,If-Event-Then-Event,16,44-strong,Jessica will have enough help to save more stray cats and dogs.,Jessica will not have enough help to save more stray cats and dogs.,Jessica may or may not have enough help to save more stray cats and dogs.
"If John encourages men to become educators, then More individuals will sign up to tutor
John encourages men to become educators

What necessarily had to follow assuming that the above premises were true?
(a) More individuals will sign up to tutor
(b) Fewer individuals will sign up to tutor
(c) More individuals may or may not sign up to tutor",a,ponens,If-Event-Then-Event,16,45-strong,More individuals will sign up to tutor.,Fewer individuals will sign up to tutor.,More individuals may or may not sign up to tutor.
"If John convinces men to become educators, then John will gather signatures for a cause
John convinces men to become educators

What necessarily had to follow assuming that the above premises were true?
(a) John will gather signatures for a cause
(b) John will not gather signatures for a cause
(c) John may or may not gather signatures for a cause",a,ponens,If-Event-Then-Event,16,46-strong,John will gather signatures for a cause.,John will not gather signatures for a cause.,John may or may not gather signatures for a cause.
"If John alters men's beliefs to educate others, then Jessica will give money
John alters men's beliefs to educate others

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will give money
(b) Jessica will not give money
(c) Jessica may or may not give money",a,ponens,If-Event-Then-Event,16,47-strong,Jessica will give money.,Jessica will not give money.,Jessica may or may not give money.
"If John convinces men to become educators, then Jessica will partner with John
John convinces men to become educators

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will partner with John
(b) Jessica will not partner with John
(c) Jessica may or may not partner with John",a,ponens,If-Event-Then-Event,16,48-strong,Jessica will partner with John.,Jessica will not partner with John.,Jessica may or may not partner with John.
"If John reforms men's views to educate a community, then Jessica will donate funds to support the initiative
John reforms men's views to educate a community

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will donate funds to support the initiative
(b) Jessica will not donate funds to support the initiative
(c) Jessica may or may not donate funds to support the initiative",a,ponens,If-Event-Then-Event,16,49-strong,Jessica will donate funds to support the initiative.,Jessica will not donate funds to support the initiative.,Jessica may or may not donate funds to support the initiative.
"If John educates men about equality, then Jessica advocates for equal rights
John educates men about equality

What necessarily had to follow assuming that the above premises were true?
(a) Jessica advocates for equal rights
(b) Jessica does not advocate for equal rights
(c) Jessica may or may not advocate for equal rights",a,ponens,If-Event-Then-Event,16,50-strong,Jessica advocates for equal rights.,Jessica does not advocate for equal rights.,Jessica may or may not advocate for equal rights.
"If John trains men to be educators, then Jessica saves stray dogs
John trains men to be educators

What necessarily had to follow assuming that the above premises were true?
(a) Jessica saves stray dogs
(b) Jessica does not save stray dogs
(c) Jessica may or may not save stray dogs",a,ponens,If-Event-Then-Event,16,51-strong,Jessica saves stray dogs.,Jessica does not save stray dogs.,Jessica may or may not save stray dogs.
"If John convinces male friends that animals suffer, then Jessica will sign up to help at a shelter
John convinces male friends that animals suffer

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will sign up to help at a shelter
(b) Jessica will not sign up to help at a shelter
(c) Jessica may or may not sign up to help at a shelter",a,ponens,If-Event-Then-Event,16,52-strong,Jessica will sign up to help at a shelter.,Jessica will not sign up to help at a shelter.,Jessica may or may not sign up to help at a shelter.
"If John designs t-shirts with animal rights slogans for men, then Jessica will sign a petition against animal cruelty
John designs t-shirts with animal rights slogans for men

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will sign a petition against animal cruelty
(b) Jessica will not sign a petition against animal cruelty
(c) Jessica may or may not sign a petition against animal cruelty",a,ponens,If-Event-Then-Event,16,53-strong,Jessica will sign a petition against animal cruelty.,Jessica will not sign a petition against animal cruelty.,Jessica may or may not sign a petition against animal cruelty.
